date	day_quality	rows	parquet_path	meta_path
20260108	GOOD	3272498	data/sprint2/adausdt_20260108.parquet	data/sprint2/adausdt_20260108_meta.json
20260109	GOOD	3150390	data/sprint2/adausdt_20260109.parquet	data/sprint2/adausdt_20260109_meta.json
20260110	GOOD	1728582	data/sprint2/adausdt_20260110.parquet	data/sprint2/adausdt_20260110_meta.json
20260111	GOOD	2195115	data/sprint2/adausdt_20260111.parquet	data/sprint2/adausdt_20260111_meta.json
20260112	GOOD	3889966	data/sprint2/adausdt_20260112.parquet	data/sprint2/adausdt_20260112_meta.json
20260114	GOOD	3561603	data/sprint2/adausdt_20260114.parquet	data/sprint2/adausdt_20260114_meta.json
20260116	GOOD	2218314	data/curated/exchange=binance/stream=bbo/symbol=adausdt/date=20260116/data.parquet	data/curated/exchange=binance/stream=bbo/symbol=adausdt/date=20260116/meta.json
20260117	GOOD	1525727	data/curated/exchange=binance/stream=bbo/symbol=adausdt/date=20260117/data.parquet	data/curated/exchange=binance/stream=bbo/symbol=adausdt/date=20260117/meta.json
20260118	GOOD	2159902	data/curated/exchange=binance/stream=bbo/symbol=adausdt/date=20260118/data.parquet	data/curated/exchange=binance/stream=bbo/symbol=adausdt/date=20260118/meta.json
20260203	DEGRADED	234292	data/test/adausdt_20260203.parquet	data/test/adausdt_20260203_meta.json
20260204	DIAGNOSTIC_SLICE	4039	data/test/adausdt_20260204.parquet	data/test/adausdt_20260204_meta.json
20260205	DIAGNOSTIC_SLICE	2830	data/test/adausdt_20260205.parquet	data/test/adausdt_20260205_meta.json
20260206	DIAGNOSTIC_SLICE	4039	data/test/adausdt_20260206.parquet	data/test/adausdt_20260206_meta.json
