exchange	symbol	date	stream	feature	delta_ms	h_ms	pressure_threshold	event_count	mean_abs_pressure	mean_signed_fwd_return_bps	t_stat	label
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	100	100	0.050000	106359	0.975644109341175	-1.238564951795134	-164.689385034978585	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	100	100	0.100000	106157	0.977357944849439	-1.239911773913975	-164.754977387617686	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	100	100	0.200000	105676	0.981134375873939	-1.246568476206238	-165.577523504256447	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	100	250	0.050000	106359	0.975644109341175	-1.193139828120738	-157.192568782900139	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	100	250	0.100000	106157	0.977357944849439	-1.194614823381689	-157.294150038379769	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	100	250	0.200000	105676	0.981134375873939	-1.200959476819395	-158.123065806006537	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	100	500	0.050000	106359	0.975644109341175	-1.207067052789930	-149.230916848022730	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	100	500	0.100000	106157	0.977357944849439	-1.208391716761166	-149.260409755095480	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	100	500	0.200000	105676	0.981134375873939	-1.214367118408159	-149.975043240843803	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	250	100	0.050000	104915	0.948342111681985	-1.066071335863128	-136.932684660065235	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	250	100	0.100000	104365	0.952951082928089	-1.071062663088858	-137.356058685363820	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	250	100	0.200000	103359	0.960791726237301	-1.081093808643860	-138.303522481491541	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	250	250	0.050000	104915	0.948342111681985	-1.028389290670861	-131.043918252973810	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	250	250	0.100000	104365	0.952951082928089	-1.033659194957848	-131.515410800608407	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	250	250	0.200000	103359	0.960791726237301	-1.043512967408888	-132.526150882740609	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	250	500	0.050000	104915	0.948342111681985	-1.026849811655514	-122.973056239293882	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	250	500	0.100000	104365	0.952951082928089	-1.032443514710283	-123.438186373171291	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	250	500	0.200000	103359	0.960791726237301	-1.041990361534192	-124.363721898021936	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	500	100	0.050000	104982	0.911489181108711	-0.896719917437612	-112.070302588795514	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	500	100	0.100000	104028	0.919166125778528	-0.903757460509830	-112.574986707328634	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	500	100	0.200000	102319	0.932056716334439	-0.918916733513669	-113.806476477197606	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	500	250	0.050000	104982	0.911489181108711	-0.853115664487985	-105.957663469446686	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	500	250	0.100000	104028	0.919166125778528	-0.859319908240577	-106.375233216162641	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	500	250	0.200000	102319	0.932056716334439	-0.873581756807378	-107.569784963249433	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	500	500	0.050000	104982	0.911489181108711	-0.855898531603996	-100.241954030858935	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	500	500	0.100000	104028	0.919166125778528	-0.862640386245549	-100.687650972556199	ANTI_EDGE
binance	adausdt	20260324	trade	signed_trade_volume_imbalance	500	500	0.200000	102319	0.932056716334439	-0.875979668264286	-101.709968730432493	ANTI_EDGE
binance	adausdt	20260325	trade	signed_trade_volume_imbalance	100	100	0.050000	107165	0.974853675484877	-1.139658973727259	-164.885991808557009	ANTI_EDGE
binance	adausdt	20260325	trade	signed_trade_volume_imbalance	100	100	0.100000	106869	0.977342958295157	-1.142677733781461	-165.222531430857373	ANTI_EDGE
binance	adausdt	20260325	trade	signed_trade_volume_imbalance	100	100	0.200000	106410	0.980912473731507	-1.147427948836343	-165.817149011795237	ANTI_EDGE
binance	adausdt	20260325	trade	signed_trade_volume_imbalance	100	250	0.050000	107165	0.974853675484877	-1.145383494534421	-156.612850141086426	ANTI_EDGE
