exchange	symbol	exit_code	determinism_status	directional_cells	anti_edge_cells	no_edge_cells	insufficient_support_cells	dominant_label	selected_label	selected_mean_signed_fwd_return_bps	selected_t_stat	selected_event_count	selected_delta_ms	selected_h_ms	selected_pressure_threshold
bybit	linkusdt	0	PASS	135	0	0	0	DIRECTIONAL	DIRECTIONAL	1.050521208427813	77.14271887879215	95918	100	500	0.2
bybit	ltcusdt	0	PASS	135	0	0	0	DIRECTIONAL	DIRECTIONAL	0.903639475859555	80.49649160419622	66253	250	500	0.1
bybit	avaxusdt	0	PASS	135	0	0	0	DIRECTIONAL	DIRECTIONAL	0.810999528691749	86.6930236295316	79635	500	500	0.2
bybit	bnbusdt	0	PASS	135	0	0	0	DIRECTIONAL	DIRECTIONAL	0.658767609596866	56.57114935240377	37779	250	500	0.2
bybit	solusdt	0	PASS	135	0	0	0	DIRECTIONAL	DIRECTIONAL	0.647531890835687	97.82992372167372	597030	100	500	0.2
bybit	xrpusdt	0	PASS	135	0	0	0	DIRECTIONAL	DIRECTIONAL	0.600134745370251	118.04647090927895	207911	500	500	0.2
okx	maticusdt	0	PASS	135	0	0	0	DIRECTIONAL	DIRECTIONAL	0.558714714919555	58.26800451559033	70155	100	500	0.05
bybit	adausdt	0	PASS	123	0	12	0	DIRECTIONAL	DIRECTIONAL	0.499325394059537	52.53904393185282	142713	100	500	0.2
binance	bnbusdt	0	PASS	70	0	65	0	DIRECTIONAL	DIRECTIONAL	0.314154628181203	183.62649166143677	258553	250	500	0.2
okx	linkusdt	0	PASS	54	0	81	0	NO_EDGE	DIRECTIONAL	0.25696992095415	82.80321154560673	181436	250	500	0.2
binance	linkusdt	0	PASS	27	0	108	0	NO_EDGE	DIRECTIONAL	0.239272936985661	40.63974161197436	77631	500	500	0.2
binance	avaxusdt	0	PASS	15	0	120	0	NO_EDGE	DIRECTIONAL	0.238015976345018	43.489200572657474	95113	500	500	0.1
okx	avaxusdt	0	PASS	12	0	123	0	NO_EDGE	DIRECTIONAL	0.219559615790027	68.66221404887627	164464	250	500	0.2
okx	ltcusdt	0	PASS	0	0	135	0	NO_EDGE	NO_EDGE	0.190149249985341	21.849310337834343	47967	500	500	0.1
okx	xrpusdt	0	PASS	0	0	135	0	NO_EDGE	NO_EDGE	0.14628518203315	57.92254627087513	280501	500	500	0.2
okx	solusdt	0	PASS	0	0	135	0	NO_EDGE	NO_EDGE	0.111229332680268	46.01698665330038	440529	500	250	0.2
binance	xrpusdt	0	PASS	0	0	135	0	NO_EDGE	NO_EDGE	-0.14010288160719	-82.28749209571352	193955	100	100	0.2
okx	bnbusdt	0	PASS	0	23	112	0	NO_EDGE	ANTI_EDGE	-0.250396354479495	-52.80966231721031	45562	100	100	0.2
binance	solusdt	0	PASS	0	47	88	0	NO_EDGE	ANTI_EDGE	-0.310233450511394	-137.38008088415987	251591	100	100	0.2
binance	ltcusdt	0	PASS	0	100	35	0	ANTI_EDGE	ANTI_EDGE	-0.392460638008767	-52.26631301886552	46967	100	100	0.2
okx	adausdt	0	PASS	0	120	15	0	ANTI_EDGE	ANTI_EDGE	-0.435228593248365	-75.93414535708942	142734	100	250	0.2
binance	adausdt	0	PASS	0	135	0	0	ANTI_EDGE	ANTI_EDGE	-1.434074571421613	-192.84988516404405	96541	100	100	0.2
