label	partition_key	date	data_key	meta_key	bucket	exchange	stream	symbol
day1	binance/trade/adausdt/20260324	20260324	exchange=binance/stream=trade/symbol=adausdt/date=20260324/data.parquet	exchange=binance/stream=trade/symbol=adausdt/date=20260324/meta.json	quantlab-compact	binance	trade	adausdt
day2	binance/trade/adausdt/20260325	20260325	exchange=binance/stream=trade/symbol=adausdt/date=20260325/data.parquet	exchange=binance/stream=trade/symbol=adausdt/date=20260325/meta.json	quantlab-compact	binance	trade	adausdt
day3	binance/trade/adausdt/20260326	20260326	exchange=binance/stream=trade/symbol=adausdt/date=20260326/data.parquet	exchange=binance/stream=trade/symbol=adausdt/date=20260326/meta.json	quantlab-compact	binance	trade	adausdt
day4	binance/trade/adausdt/20260327	20260327	exchange=binance/stream=trade/symbol=adausdt/date=20260327/data.parquet	exchange=binance/stream=trade/symbol=adausdt/date=20260327/meta.json	quantlab-compact	binance	trade	adausdt
day5	binance/trade/adausdt/20260328	20260328	exchange=binance/stream=trade/symbol=adausdt/date=20260328/data.parquet	exchange=binance/stream=trade/symbol=adausdt/date=20260328/meta.json	quantlab-compact	binance	trade	adausdt
day6	binance/trade/avaxusdt/20260324	20260324	exchange=binance/stream=trade/symbol=avaxusdt/date=20260324/data.parquet	exchange=binance/stream=trade/symbol=avaxusdt/date=20260324/meta.json	quantlab-compact	binance	trade	avaxusdt
day7	binance/trade/avaxusdt/20260325	20260325	exchange=binance/stream=trade/symbol=avaxusdt/date=20260325/data.parquet	exchange=binance/stream=trade/symbol=avaxusdt/date=20260325/meta.json	quantlab-compact	binance	trade	avaxusdt
day8	binance/trade/avaxusdt/20260326	20260326	exchange=binance/stream=trade/symbol=avaxusdt/date=20260326/data.parquet	exchange=binance/stream=trade/symbol=avaxusdt/date=20260326/meta.json	quantlab-compact	binance	trade	avaxusdt
day9	binance/trade/avaxusdt/20260327	20260327	exchange=binance/stream=trade/symbol=avaxusdt/date=20260327/data.parquet	exchange=binance/stream=trade/symbol=avaxusdt/date=20260327/meta.json	quantlab-compact	binance	trade	avaxusdt
day10	binance/trade/avaxusdt/20260328	20260328	exchange=binance/stream=trade/symbol=avaxusdt/date=20260328/data.parquet	exchange=binance/stream=trade/symbol=avaxusdt/date=20260328/meta.json	quantlab-compact	binance	trade	avaxusdt
day11	binance/trade/bnbusdt/20260324	20260324	exchange=binance/stream=trade/symbol=bnbusdt/date=20260324/data.parquet	exchange=binance/stream=trade/symbol=bnbusdt/date=20260324/meta.json	quantlab-compact	binance	trade	bnbusdt
day12	binance/trade/bnbusdt/20260325	20260325	exchange=binance/stream=trade/symbol=bnbusdt/date=20260325/data.parquet	exchange=binance/stream=trade/symbol=bnbusdt/date=20260325/meta.json	quantlab-compact	binance	trade	bnbusdt
day13	binance/trade/bnbusdt/20260326	20260326	exchange=binance/stream=trade/symbol=bnbusdt/date=20260326/data.parquet	exchange=binance/stream=trade/symbol=bnbusdt/date=20260326/meta.json	quantlab-compact	binance	trade	bnbusdt
day14	binance/trade/bnbusdt/20260327	20260327	exchange=binance/stream=trade/symbol=bnbusdt/date=20260327/data.parquet	exchange=binance/stream=trade/symbol=bnbusdt/date=20260327/meta.json	quantlab-compact	binance	trade	bnbusdt
day15	binance/trade/bnbusdt/20260328	20260328	exchange=binance/stream=trade/symbol=bnbusdt/date=20260328/data.parquet	exchange=binance/stream=trade/symbol=bnbusdt/date=20260328/meta.json	quantlab-compact	binance	trade	bnbusdt
