strategy_id	family_id	exchange	symbol	stream	delta_ms	h_ms	pressure_threshold	event_count	t_stat	mean_signed_fwd_return_bps	score	source_dates	supporting_days	source_row_count	min_event_count	min_t_stat
microstructure_imbalance_v1__bybit__linkusdt__trade__d100__h500__pt020	microstructure_imbalance_v1	bybit	linkusdt	trade	100	500	0.2	638846	129.41468382493628	0.8139515752445161	105.33728575907789	20260324,20260325,20260326,20260327	4	4	144818	108.52562612586168
microstructure_imbalance_v1__bybit__linkusdt__trade__d250__h500__pt020	microstructure_imbalance_v1	bybit	linkusdt	trade	250	500	0.2	635818	126.96428025891421	0.805815361788354	102.30976743103493	20260324,20260325,20260326,20260327	4	4	144182	110.73391986618148
microstructure_imbalance_v1__bybit__solusdt__trade__d100__h500__pt020	microstructure_imbalance_v1	bybit	solusdt	trade	100	500	0.2	2880004	117.48625231404911	0.5182218696989184	60.883945338105406	20260324,20260325,20260326,20260327,20260328	5	5	346451	95.60010143145
microstructure_imbalance_v1__bybit__solusdt__trade__d250__h500__pt020	microstructure_imbalance_v1	bybit	solusdt	trade	250	500	0.2	2857423	117.69208871546384	0.5088614448389591	59.888966309865886	20260324,20260325,20260326,20260327,20260328	5	5	344758	93.98087962890077
microstructure_imbalance_v1__bybit__avaxusdt__trade__d100__h500__pt020	microstructure_imbalance_v1	bybit	avaxusdt	trade	100	500	0.2	598663	96.14768139909256	0.5767903742637637	55.45705713877571	20260324,20260325,20260326,20260327	4	4	126579	66.24863341091691
microstructure_imbalance_v1__bybit__xrpusdt__trade__d100__h250__pt020	microstructure_imbalance_v1	bybit	xrpusdt	trade	100	250	0.2	1866554	125.25270490738393	0.4232347884557247	53.01130206498395	20260324,20260325,20260326,20260327,20260328	5	5	210258	98.21012317730879
microstructure_imbalance_v1__bybit__avaxusdt__trade__d250__h500__pt020	microstructure_imbalance_v1	bybit	avaxusdt	trade	250	500	0.2	594565	93.73768483065142	0.5603652283119662	52.52733916156311	20260324,20260325,20260326,20260327	4	4	125841	63.814468147794344
microstructure_imbalance_v1__bybit__xrpusdt__trade__d250__h500__pt020	microstructure_imbalance_v1	bybit	xrpusdt	trade	250	500	0.2	1855874	113.66459263239095	0.45210671053594426	51.388525079438395	20260324,20260325,20260326,20260327,20260328	5	5	209236	97.61308458117502
microstructure_imbalance_v1__bybit__adausdt__trade__d250__h250__pt020	microstructure_imbalance_v1	bybit	adausdt	trade	250	250	0.2	412903	47.058168362825796	0.40335953665591323	18.98136098670537	20260324,20260325,20260326	3	3	127180	33.17684786010277
microstructure_imbalance_v1__bybit__adausdt__trade__d500__h250__pt020	microstructure_imbalance_v1	bybit	adausdt	trade	500	250	0.2	411092	47.17452797564085	0.3992083437218413	18.832465179015248	20260324,20260325,20260326	3	3	126574	31.857330131598296
