rank	score	decision_tier	pack_id	pack_path	det_ratio	det_pass	det_supported	det_skipped	max_rss_kb	max_elapsed_sec	context_flags	candidate_status
1	58.443460	PROMOTE	multi-hypothesis-phase5-day-benchmark-binance-trade-20260303-20260306_122929__FULLSCAN_MAJOR__ddc202fbb2ed6b765494fd68ed2aa0d9d3dd4a0049c29a8b5e9c9788201677f4	/home/deploy/quantlab-evidence-archive/20260306_slim/multi-hypothesis-phase5-day-benchmark-binance-trade-20260303-20260306_122929__FULLSCAN_MAJOR	1.000000	35	35	7	200808.0	33.15	MARK=WARN;FUNDING=PASS;OI=PASS	NEW
2	57.280893	PROMOTE	multi-hypothesis-phase5-bighunt-binance-trade-20260302..20260303-20260306_094633-d5dbd181-t1__FULLSCAN_MAJOR__ff80c569bcaa0490aa4ffb44aa9a9c286eda5828222da2a9996fe20a1495eacf	/home/deploy/quantlab-evidence-archive/20260306_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260302..20260303-20260306_094633-d5dbd181-t1__FULLSCAN_MAJOR	1.000000	35	35	7	324688.0	65.74	MARK=WARN;FUNDING=PASS;OI=PASS	NEW
3	56.795580	PROMOTE	multi-hypothesis-phase5-day-benchmark-binance-trade-20260104-20260306_102926__FULLSCAN_MAJOR__b56c960fa2b5365433d20003eae450803cc5929382ae44940b179c73487bc969	/home/deploy/quantlab-evidence-archive/20260306_slim/multi-hypothesis-phase5-day-benchmark-binance-trade-20260104-20260306_102926__FULLSCAN_MAJOR	1.000000	10	10	2	562684.0	23.46	MARK=WARN;FUNDING=PASS;OI=PASS	NEW
4	49.463380	PROMOTE	multi-hypothesis-phase5-bighunt-bybit-bbo-20260104..20260104-20260306_133014-73b441ce-t1__FULLSCAN_MAJOR__571a6879366b2d0c48883a1d11c3b1c65d432f036a5b97fa1cdc49bec19367c9	/home/deploy/quantlab-evidence-archive/20260306_slim/multi-hypothesis-phase5-bighunt-bybit-bbo-20260104..20260104-20260306_133014-73b441ce-t1__FULLSCAN_MAJOR	1.000000	3	3	15	99824.0	2.25	MARK=MIXED;FUNDING=OK;OI=OK	NEW
5	47.746687	PROMOTE	multi-hypothesis-phase5-bighunt-binance-trade-20260226..20260227-20260305_151319-51538807-t1__FULLSCAN_MAJOR__8ac2b96b23fa74bc83b194c6873debdbd2fe5d3c46556b1ef0a8725a137a758a	/home/deploy/quantlab-evidence-archive/20260305_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260226..20260227-20260305_151319-51538807-t1__FULLSCAN_MAJOR	1.000000	35	35	7	268996.0	54.5	MARK=NA;FUNDING=NA;OI=NA	NEW
6	47.550833	PROMOTE	multi-hypothesis-phase5-bighunt-binance-trade-20260227..20260228-20260305_151704-70b0f1f2-t1__FULLSCAN_MAJOR__019c89bf9e4986b03df85ef2f7f72e6367aec30c55fe59a76329e81e716e3e1d	/home/deploy/quantlab-evidence-archive/20260305_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260227..20260228-20260305_151704-70b0f1f2-t1__FULLSCAN_MAJOR	1.000000	35	35	7	292500.0	59.2	MARK=NA;FUNDING=NA;OI=NA	NEW
7	47.227033	PROMOTE	multi-hypothesis-phase5-bighunt-binance-trade-20260303..20260304-20260306_113334-eacbdf5c-t1__FULLSCAN_MAJOR__2456938e47702497f5c2107075a4bd8b6e40b72f2f5af8f03eaf9692ecbd92f4	/home/deploy/quantlab-evidence-archive/20260306_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260303..20260304-20260306_113334-eacbdf5c-t1__FULLSCAN_MAJOR	1.000000	35	35	7	326060.0	68.56	MARK=OK;FUNDING=OK;OI=NEUTRAL	NEW
8	47.079820	PROMOTE	multi-hypothesis-phase5-bighunt-binance-trade-20260104..20260104-20260306_132910-64ab9364-t1__FULLSCAN_MAJOR__470998239d0ff4a287d41b412dfadc9877179b4e5991f18ae5a682060bd047c5	/home/deploy/quantlab-evidence-archive/20260306_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260104..20260104-20260306_132910-64ab9364-t1__FULLSCAN_MAJOR	1.000000	10	10	2	502236.0	24.54	MARK=MIXED;FUNDING=OK;OI=NEUTRAL	NEW
9	35.283167	PROMOTE	multi-hypothesis-phase5-bighunt-binance-trade-20260126..20260127-20260305_083648__FULLSCAN_MAJOR__ebd38ebaf46bc6e517de467e8934695a51b2ddfaa11fd85c6c3cd7e3aa2c37d9	/home/deploy/quantlab-evidence-archive/20260305_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260126..20260127-20260305_083648__FULLSCAN_MAJOR	1.000000	45	45	9	2305968.0	283.01	MARK=NA;FUNDING=NA;OI=NA	NEW
10	35.236000	PROMOTE	multi-hypothesis-phase5-bighunt-binance-trade-20260126..20260127-20260305_143035-3a902547-t1__FULLSCAN_MAJOR__1b6f450b5fdc49667e1a8876dc3ebe7e852f9b681f074025f0f408840c4bc1d6	/home/deploy/quantlab-evidence-archive/20260305_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260126..20260127-20260305_143035-3a902547-t1__FULLSCAN_MAJOR	1.000000	45	45	9	2117556.0	285.84	MARK=NA;FUNDING=NA;OI=NA	NEW
